,timestamp,reading
0,2022-01-01 04:00:00,1024
1,2022-01-01 07:00:00,1411
2,2022-01-01 11:00:00,1653
3,2022-01-01 13:00:00,1099
4,2022-01-01 15:00:00,1516
5,2022-01-01 19:00:00,1515
6,2022-01-01 22:00:00,1085
7,2022-01-01 23:00:00,1065
8,2022-01-02 02:00:00,1757
9,2022-01-02 05:00:00,1303
10,2022-01-02 06:00:00,1992
11,2022-01-02 07:00:00,1125
12,2022-01-02 10:00:00,1631
13,2022-01-02 13:00:00,1294
14,2022-01-02 14:00:00,1482
15,2022-01-02 16:00:00,1581
16,2022-01-02 19:00:00,1621
17,2022-01-02 21:00:00,1879
18,2022-01-03 01:00:00,1126
19,2022-01-03 03:00:00,1779
20,2022-01-03 06:00:00,1060
21,2022-01-03 10:00:00,1625
22,2022-01-03 14:00:00,1870
23,2022-01-03 17:00:00,1043
24,2022-01-03 20:00:00,1961
25,2022-01-03 22:00:00,1968
26,2022-01-04 00:00:00,1038
27,2022-01-04 04:00:00,1177
28,2022-01-04 07:00:00,1805
29,2022-01-04 09:00:00,1361
30,2022-01-04 13:00:00,1291
31,2022-01-04 16:00:00,1088
32,2022-01-04 18:00:00,1208
33,2022-01-04 19:00:00,1375
34,2022-01-04 22:00:00,1034
35,2022-01-04 23:00:00,1295
36,2022-01-05 03:00:00,1731
37,2022-01-05 07:00:00,1466
38,2022-01-05 09:00:00,1502
39,2022-01-05 13:00:00,1597
40,2022-01-05 14:00:00,1794
41,2022-01-05 17:00:00,1649
42,2022-01-05 21:00:00,1914
43,2022-01-05 22:00:00,1518
44,2022-01-06 01:00:00,1626
45,2022-01-06 02:00:00,1232
46,2022-01-06 06:00:00,1780
47,2022-01-06 10:00:00,1053
48,2022-01-06 13:00:00,1654
49,2022-01-06 14:00:00,1703
50,2022-01-06 16:00:00,1344
51,2022-01-06 19:00:00,1398
52,2022-01-06 22:00:00,1423
53,2022-01-07 01:00:00,1908
54,2022-01-07 05:00:00,1131
55,2022-01-07 09:00:00,1821
56,2022-01-07 11:00:00,1829
57,2022-01-07 13:00:00,1168
58,2022-01-07 16:00:00,1947
59,2022-01-07 17:00:00,1132
60,2022-01-07 20:00:00,1052
61,2022-01-08 00:00:00,1683
62,2022-01-08 02:00:00,1889
63,2022-01-08 03:00:00,1778
64,2022-01-08 07:00:00,1823
65,2022-01-08 10:00:00,1134
66,2022-01-08 14:00:00,1586
67,2022-01-08 17:00:00,1998
68,2022-01-08 19:00:00,1841
69,2022-01-08 20:00:00,1208
70,2022-01-09 00:00:00,1900
71,2022-01-09 01:00:00,1132
72,2022-01-09 02:00:00,1959
73,2022-01-09 03:00:00,1238
74,2022-01-09 05:00:00,1888
75,2022-01-09 09:00:00,1560
76,2022-01-09 13:00:00,1626
77,2022-01-09 14:00:00,1985
78,2022-01-09 15:00:00,1200
79,2022-01-09 18:00:00,1803
80,2022-01-09 22:00:00,1686
81,2022-01-10 02:00:00,1607
82,2022-01-10 05:00:00,1574
83,2022-01-10 09:00:00,1469
84,2022-01-10 13:00:00,1075
85,2022-01-10 16:00:00,1259
86,2022-01-10 20:00:00,1082
87,2022-01-11 00:00:00,1321
88,2022-01-11 04:00:00,1141
89,2022-01-11 06:00:00,1033
90,2022-01-11 09:00:00,1315
91,2022-01-11 13:00:00,1814
92,2022-01-11 17:00:00,1422
93,2022-01-11 20:00:00,1384
94,2022-01-11 22:00:00,1949
95,2022-01-12 02:00:00,1569
96,2022-01-12 06:00:00,1351
97,2022-01-12 10:00:00,1358
98,2022-01-12 14:00:00,1590
99,2022-01-12 18:00:00,1396
100,2022-01-12 20:00:00,1571
101,2022-01-12 23:00:00,1184
102,2022-01-13 03:00:00,1112
103,2022-01-13 05:00:00,1758
104,2022-01-13 07:00:00,1698
105,2022-01-13 10:00:00,1333
106,2022-01-13 11:00:00,1291
107,2022-01-13 12:00:00,1825
108,2022-01-13 16:00:00,1659
109,2022-01-13 19:00:00,1329
110,2022-01-13 20:00:00,1953
111,2022-01-14 00:00:00,1725
112,2022-01-14 04:00:00,1958
113,2022-01-14 08:00:00,1894
114,2022-01-14 09:00:00,1920
115,2022-01-14 10:00:00,1879
116,2022-01-14 12:00:00,1737
117,2022-01-14 14:00:00,1504
118,2022-01-14 16:00:00,1002
119,2022-01-14 17:00:00,1557
120,2022-01-14 21:00:00,1461
121,2022-01-15 00:00:00,1214
122,2022-01-15 02:00:00,1855
123,2022-01-15 05:00:00,1446
124,2022-01-15 08:00:00,1411
125,2022-01-15 10:00:00,1919
126,2022-01-15 12:00:00,1042
127,2022-01-15 14:00:00,1928
128,2022-01-15 17:00:00,1788
129,2022-01-15 18:00:00,1327
130,2022-01-15 19:00:00,1856
131,2022-01-15 22:00:00,1627
132,2022-01-16 02:00:00,1493
133,2022-01-16 04:00:00,1078
134,2022-01-16 05:00:00,1903
135,2022-01-16 07:00:00,1786
136,2022-01-16 10:00:00,1483
137,2022-01-16 12:00:00,1524
138,2022-01-16 15:00:00,1430
139,2022-01-16 17:00:00,1533
140,2022-01-16 19:00:00,1617
141,2022-01-16 23:00:00,1676
142,2022-01-17 03:00:00,1739
143,2022-01-17 07:00:00,1511
144,2022-01-17 09:00:00,1536
145,2022-01-17 12:00:00,1618
146,2022-01-17 15:00:00,1804
147,2022-01-17 16:00:00,1578
148,2022-01-17 19:00:00,1152
149,2022-01-17 23:00:00,1203
150,2022-01-18 01:00:00,1023
151,2022-01-18 03:00:00,1220
152,2022-01-18 06:00:00,1828
153,2022-01-18 07:00:00,1331
154,2022-01-18 10:00:00,1539
155,2022-01-18 13:00:00,1232
156,2022-01-18 17:00:00,1123
157,2022-01-18 18:00:00,1690
158,2022-01-18 21:00:00,1132
159,2022-01-18 22:00:00,1317
160,2022-01-19 00:00:00,1588
161,2022-01-19 02:00:00,1223
162,2022-01-19 06:00:00,1367
163,2022-01-19 10:00:00,1187
164,2022-01-19 12:00:00,1436
165,2022-01-19 13:00:00,1164
166,2022-01-19 17:00:00,1234
167,2022-01-19 18:00:00,1839
168,2022-01-19 22:00:00,1568
169,2022-01-20 01:00:00,1680
170,2022-01-20 02:00:00,1989
171,2022-01-20 06:00:00,1330
172,2022-01-20 10:00:00,1092
173,2022-01-20 11:00:00,1829
174,2022-01-20 14:00:00,1269
175,2022-01-20 15:00:00,1477
176,2022-01-20 17:00:00,1929
177,2022-01-20 19:00:00,1234
178,2022-01-20 21:00:00,1447
179,2022-01-20 23:00:00,1341
180,2022-01-21 00:00:00,1057
181,2022-01-21 01:00:00,1486
182,2022-01-21 04:00:00,1017
183,2022-01-21 05:00:00,1025
184,2022-01-21 06:00:00,1769
185,2022-01-21 09:00:00,1688
186,2022-01-21 13:00:00,1655
187,2022-01-21 15:00:00,1832
188,2022-01-21 19:00:00,1137
189,2022-01-21 21:00:00,1593
190,2022-01-21 23:00:00,1569
191,2022-01-22 01:00:00,1104
192,2022-01-22 03:00:00,1626
193,2022-01-22 07:00:00,1499
194,2022-01-22 10:00:00,1075
195,2022-01-22 12:00:00,1993
196,2022-01-22 16:00:00,1084
197,2022-01-22 20:00:00,1215
198,2022-01-22 23:00:00,1391
199,2022-01-23 02:00:00,1815
200,2022-01-23 06:00:00,1466
201,2022-01-23 08:00:00,1085
202,2022-01-23 09:00:00,1988
203,2022-01-23 11:00:00,1317
204,2022-01-23 13:00:00,1555
205,2022-01-23 16:00:00,1355
206,2022-01-23 17:00:00,1426
207,2022-01-23 21:00:00,1342
208,2022-01-23 22:00:00,1105
209,2022-01-23 23:00:00,1318
210,2022-01-24 02:00:00,1480
211,2022-01-24 03:00:00,1397
212,2022-01-24 05:00:00,1155
213,2022-01-24 07:00:00,1588
214,2022-01-24 08:00:00,1285
215,2022-01-24 09:00:00,1213
216,2022-01-24 12:00:00,1251
217,2022-01-24 16:00:00,1939
218,2022-01-24 18:00:00,1801
219,2022-01-24 20:00:00,1619
220,2022-01-25 00:00:00,1007
221,2022-01-25 02:00:00,1189
222,2022-01-25 04:00:00,1621
223,2022-01-25 08:00:00,1336
224,2022-01-25 11:00:00,1980
225,2022-01-25 12:00:00,1007
226,2022-01-25 13:00:00,1640
227,2022-01-25 14:00:00,1543
228,2022-01-25 17:00:00,1595
229,2022-01-25 21:00:00,1337
230,2022-01-25 22:00:00,1399
231,2022-01-26 02:00:00,1614
232,2022-01-26 05:00:00,1448
233,2022-01-26 06:00:00,1611
234,2022-01-26 09:00:00,1425
235,2022-01-26 13:00:00,1456
236,2022-01-26 14:00:00,1323
237,2022-01-26 16:00:00,1646
238,2022-01-26 18:00:00,1123
239,2022-01-26 22:00:00,1601
240,2022-01-27 00:00:00,1441
241,2022-01-27 02:00:00,1736
242,2022-01-27 06:00:00,1777
243,2022-01-27 10:00:00,1076
244,2022-01-27 11:00:00,1100
245,2022-01-27 13:00:00,1263
246,2022-01-27 14:00:00,1616
247,2022-01-27 17:00:00,1174
248,2022-01-27 18:00:00,1093
249,2022-01-27 22:00:00,1304
250,2022-01-28 01:00:00,1614
251,2022-01-28 05:00:00,1815
252,2022-01-28 09:00:00,1580
253,2022-01-28 10:00:00,1839
254,2022-01-28 11:00:00,1075
255,2022-01-28 15:00:00,1287
256,2022-01-28 16:00:00,1065
257,2022-01-28 19:00:00,1355
258,2022-01-28 23:00:00,1498
259,2022-01-29 03:00:00,1394
260,2022-01-29 07:00:00,1460
261,2022-01-29 08:00:00,1288
262,2022-01-29 10:00:00,1972
263,2022-01-29 12:00:00,1338
264,2022-01-29 13:00:00,1740
265,2022-01-29 15:00:00,1892
266,2022-01-29 16:00:00,1742
267,2022-01-29 18:00:00,1097
268,2022-01-29 20:00:00,1250
269,2022-01-29 22:00:00,1702
270,2022-01-30 02:00:00,1435
271,2022-01-30 06:00:00,1940
272,2022-01-30 09:00:00,1756
273,2022-01-30 11:00:00,1080
274,2022-01-30 13:00:00,1986
275,2022-01-30 15:00:00,1232
276,2022-01-30 19:00:00,1935
277,2022-01-30 21:00:00,1425
278,2022-01-31 00:00:00,1051
279,2022-01-31 02:00:00,1425
280,2022-01-31 05:00:00,1101
281,2022-01-31 08:00:00,1936
282,2022-01-31 09:00:00,1795
283,2022-01-31 13:00:00,1586
284,2022-01-31 17:00:00,1490
285,2022-01-31 20:00:00,1831
286,2022-02-01 00:00:00,1132
287,2022-02-01 02:00:00,1262
288,2022-02-01 04:00:00,1340
289,2022-02-01 08:00:00,1457
290,2022-02-01 11:00:00,1112
291,2022-02-01 15:00:00,1223
292,2022-02-01 17:00:00,1792
293,2022-02-01 21:00:00,1229
294,2022-02-01 22:00:00,1910
295,2022-02-02 01:00:00,1349
296,2022-02-02 04:00:00,1774
297,2022-02-02 08:00:00,1500
298,2022-02-02 10:00:00,1198
299,2022-02-02 11:00:00,1266
300,2022-02-02 15:00:00,1917
301,2022-02-02 16:00:00,1199
302,2022-02-02 19:00:00,1835
303,2022-02-02 22:00:00,1479
304,2022-02-03 01:00:00,1179
305,2022-02-03 04:00:00,1144
306,2022-02-03 08:00:00,1716
307,2022-02-03 10:00:00,1062
308,2022-02-03 13:00:00,1904
309,2022-02-03 14:00:00,1725
310,2022-02-03 16:00:00,1287
311,2022-02-03 17:00:00,1109
312,2022-02-03 20:00:00,1135
313,2022-02-03 23:00:00,1926
314,2022-02-04 01:00:00,1426
315,2022-02-04 02:00:00,1289
316,2022-02-04 05:00:00,1687
317,2022-02-04 09:00:00,1855
318,2022-02-04 13:00:00,1653
319,2022-02-04 16:00:00,1094
320,2022-02-04 20:00:00,1105
321,2022-02-04 22:00:00,1400
322,2022-02-05 01:00:00,1364
323,2022-02-05 04:00:00,1922
324,2022-02-05 05:00:00,1738
325,2022-02-05 09:00:00,1507
326,2022-02-05 10:00:00,1115
327,2022-02-05 12:00:00,1963
328,2022-02-05 14:00:00,1815
329,2022-02-05 18:00:00,1821
330,2022-02-05 20:00:00,1897
331,2022-02-06 00:00:00,1554
332,2022-02-06 01:00:00,1019
333,2022-02-06 04:00:00,1605
334,2022-02-06 07:00:00,1176
335,2022-02-06 08:00:00,1771
336,2022-02-06 11:00:00,1314
337,2022-02-06 13:00:00,1079
338,2022-02-06 17:00:00,1492
339,2022-02-06 18:00:00,1073
340,2022-02-06 21:00:00,1647
341,2022-02-06 23:00:00,1518
342,2022-02-07 03:00:00,1226
343,2022-02-07 06:00:00,1441
344,2022-02-07 08:00:00,1401
345,2022-02-07 10:00:00,1045
346,2022-02-07 13:00:00,1641
347,2022-02-07 14:00:00,1588
348,2022-02-07 16:00:00,1265
349,2022-02-07 17:00:00,1165
350,2022-02-07 21:00:00,1566
351,2022-02-07 22:00:00,1378
352,2022-02-08 01:00:00,1992
353,2022-02-08 04:00:00,1429
354,2022-02-08 07:00:00,1846
355,2022-02-08 11:00:00,1165
356,2022-02-08 12:00:00,1932
357,2022-02-08 16:00:00,1762
358,2022-02-08 18:00:00,1221
359,2022-02-08 22:00:00,1162
360,2022-02-09 02:00:00,1616
361,2022-02-09 06:00:00,1970
362,2022-02-09 10:00:00,1225
363,2022-02-09 11:00:00,1005
364,2022-02-09 15:00:00,1916
365,2022-02-09 17:00:00,1148
366,2022-02-09 18:00:00,1641
367,2022-02-09 20:00:00,1423
368,2022-02-09 21:00:00,1572
369,2022-02-10 01:00:00,1671
370,2022-02-10 05:00:00,1605
371,2022-02-10 06:00:00,1069
372,2022-02-10 10:00:00,1204
373,2022-02-10 13:00:00,1925
374,2022-02-10 16:00:00,1813
375,2022-02-10 17:00:00,1506
376,2022-02-10 20:00:00,1014
377,2022-02-11 00:00:00,1391
378,2022-02-11 02:00:00,1116
379,2022-02-11 04:00:00,1911
380,2022-02-11 06:00:00,1044
381,2022-02-11 09:00:00,1498
382,2022-02-11 13:00:00,1539
383,2022-02-11 16:00:00,1118
384,2022-02-11 18:00:00,1147
385,2022-02-11 20:00:00,1366
386,2022-02-12 00:00:00,1628
387,2022-02-12 01:00:00,1174
388,2022-02-12 05:00:00,1362
389,2022-02-12 08:00:00,1261
390,2022-02-12 09:00:00,1578
391,2022-02-12 13:00:00,1315
392,2022-02-12 16:00:00,1545
393,2022-02-12 20:00:00,1281
394,2022-02-12 22:00:00,1238
395,2022-02-13 01:00:00,1855
396,2022-02-13 02:00:00,1147
397,2022-02-13 05:00:00,1239
398,2022-02-13 07:00:00,1714
399,2022-02-13 11:00:00,1422
400,2022-02-13 13:00:00,1277
401,2022-02-13 15:00:00,1801
402,2022-02-13 16:00:00,1152
403,2022-02-13 20:00:00,1386
404,2022-02-14 00:00:00,1759
405,2022-02-14 03:00:00,1182
406,2022-02-14 07:00:00,1346
407,2022-02-14 08:00:00,1622
408,2022-02-14 11:00:00,1274
409,2022-02-14 15:00:00,1518
410,2022-02-14 16:00:00,1122
411,2022-02-14 18:00:00,1146
412,2022-02-14 21:00:00,1421
413,2022-02-14 22:00:00,1756
414,2022-02-15 02:00:00,1130
415,2022-02-15 06:00:00,1483
416,2022-02-15 07:00:00,1776
417,2022-02-15 08:00:00,1674
418,2022-02-15 09:00:00,1888
419,2022-02-15 13:00:00,1740
420,2022-02-15 15:00:00,1409
421,2022-02-15 16:00:00,1411
