,0
0,1
1,1
2,3
3,0
4,2
5,1
6,0
7,3
8,1
9,2
10,1
11,1
12,2
13,1
14,3
15,2
16,3
17,1
18,0
19,2
20,2
21,0
22,2
23,2
24,1
25,0
26,2
27,1
28,0
29,3
30,1
31,2
32,2
33,2
34,2
35,0
36,0
37,3
38,1
39,2
40,0
41,1
42,0
43,0
44,1
45,0
46,2
47,0
48,3
49,1
50,2
51,2
52,3
53,2
54,3
55,1
56,3
57,2
58,0
59,1
60,3
61,2
62,2
63,2
64,0
65,0
66,2
67,2
68,3
69,3
70,3
71,1
72,3
73,0
74,0
75,2
76,0
77,1
78,1
79,0
80,3
81,0
82,1
83,3
84,2
85,0
86,2
87,0
88,2
89,0
90,1
91,2
92,1
93,0
94,0
95,0
96,0
97,2
98,1
99,2
100,0
101,3
102,0
103,2
104,0
105,1
106,3
107,0
108,2
109,3
110,2
111,0
112,1
113,0
114,1
115,0
116,2
117,1
118,0
119,2
120,0
121,0
122,3
123,1
124,1
125,0
126,2
127,2
128,2
129,3
130,2
131,0
132,2
133,2
134,1
135,2
136,1
137,2
138,2
139,3
140,0
141,1
142,2
143,1
144,0
145,1
146,3
147,1
148,0
149,2
150,2
151,0
152,2
153,0
154,2
155,2
156,1
157,1
158,2
159,3
160,3
161,3
162,1
163,2
164,3
165,3
166,1
167,2
168,2
169,3
170,3
171,1
172,0
173,1
174,2
175,2
176,0
177,3
178,3
179,1
180,3
181,1
182,1
183,1
184,1
185,2
186,2
187,3
188,1
189,1
190,3
191,3
192,3
193,3
194,2
195,3
196,3
197,3
198,0
199,0
200,0
201,0
202,2
203,1
204,3
205,0
206,1
207,0
208,3
209,3
210,3
211,0
212,2
213,3
214,1
215,3
216,3
217,1
218,0
219,3
220,0
221,0
222,0
223,3
224,1
225,2
226,2
227,2
228,2
229,0
230,0
231,2
232,3
233,0
234,1
235,2
236,3
237,2
238,2
239,0
240,3
241,1
242,0
243,3
244,2
245,3
246,2
247,3
248,1
249,2
250,1
251,0
252,2
253,0
254,0
255,2
256,1
257,2
258,2
259,2
260,1
261,1
262,0
263,1
264,2
265,3
266,0
267,1
268,0
269,3
270,3
271,2
272,1
273,2
274,0
275,0
276,2
277,1
278,3
279,3
280,0
281,1
282,0
283,1
284,3
285,2
286,1
287,2
288,3
289,3
290,3
291,1
292,3
293,0
294,0
295,3
296,0
297,0
298,2
299,0
300,0
301,1
302,1
303,2
304,3
305,3
306,1
307,1
308,1
309,1
310,0
311,3
312,2
313,2
314,1
315,3
316,3
317,3
318,1
319,0
320,0
321,1
322,0
323,2
324,1
325,0
326,0
327,1
328,0
329,1
330,1
331,3
332,0
333,1
334,1
335,2
336,0
337,0
338,3
339,1
340,1
341,2
342,1
343,1
344,3
345,0
346,2
347,2
348,2
349,3
350,3
351,1
352,1
353,3
354,2
355,2
356,0
357,0
358,0
359,1
360,3
361,1
362,3
363,1
364,2
365,0
366,3
367,1
368,3
369,0
370,1
371,0
372,1
373,0
374,0
375,1
376,0
377,3
378,1
379,3
380,1
381,2
382,3
383,0
384,1
385,1
386,3
387,1
388,0
389,2
390,3
391,0
392,3
393,3
394,2
395,3
396,2
397,0
398,2
399,1
400,2
401,3
402,2
403,2
404,1
405,2
406,2
407,3
408,1
409,2
410,1
411,0
412,0
413,0
414,3
415,2
416,2
417,2
418,1
419,3
420,1
421,1
422,1
423,0
424,3
425,1
426,2
427,2
428,0
429,1
430,3
431,2
432,1
433,1
434,1
435,3
436,3
437,2
438,2
439,2
440,0
441,1
442,2
443,1
444,1
445,3
446,2
447,1
448,3
449,1
450,3
451,0
452,3
453,3
454,0
455,2
456,1
457,1
458,0
459,1
460,1
461,0
462,2
463,1
464,2
465,2
466,0
467,3
468,0
469,1
470,1
471,1
472,2
473,0
474,1
475,1
476,1
477,0
478,2
479,2
480,1
481,0
482,3
483,0
484,1
485,3
486,3
487,1
488,0
489,1
490,3
491,2
492,1
493,2
494,2
495,0
496,2
497,0
498,2
499,3
500,1
501,1
502,1
503,3
504,3
505,2
506,1
507,0
508,2
509,2
510,0
511,1
512,3
513,1
514,3
515,3
516,3
517,2
518,0
519,1
520,2
521,1
522,1
523,1
524,0
525,3
526,3
527,0
528,1
529,3
530,0
531,2
532,0
533,2
534,3
535,2
536,1
537,2
538,3
539,2
540,1
541,2
542,0
543,0
544,1
545,3
546,2
547,1
548,3
549,1
550,3
551,3
552,0
553,0
554,0
555,3
556,0
557,2
558,2
559,3
560,1
561,3
562,2
563,3
564,1
565,3
566,3
567,3
568,1
569,2
570,2
571,3
572,2
573,3
574,3
575,2
576,0
577,3
578,3
579,2
580,0
581,1
582,2
583,1
584,0
585,3
586,0
587,1
588,1
589,1
590,3
591,3
592,2
593,1
594,1
595,1
596,0
597,1
598,3
599,0
600,1
601,0
602,1
603,0
604,2
605,1
606,3
607,2
608,1
609,3
610,0
611,0
612,1
613,2
614,1
615,0
616,3
617,1
618,1
619,1
620,3
621,3
622,0
623,3
624,1
625,0
626,3
627,0
628,2
629,1
630,1
631,2
632,3
633,2
634,1
635,3
636,0
637,0
638,2
639,3
640,1
641,1
642,0
643,3
644,0
645,3
646,3
647,1
648,3
649,3
650,2
651,3
652,1
653,3
654,2
655,3
656,1
657,2
658,2
659,1
660,1
661,1
662,2
663,3
664,3
665,1
666,1
667,2
668,1
669,1
670,0
671,1
672,2
673,3
674,0
675,2
676,2
677,2
678,3
679,1
680,0
681,0
682,3
683,3
684,1
685,1
686,1
687,0
688,1
689,1
690,0
691,3
692,3
693,1
694,3
695,1
696,2
697,2
698,1
699,0
700,2
701,1
702,3
703,1
704,0
705,3
706,3
707,0
708,1
709,2
710,0
711,1
712,3
713,2
714,1
715,2
716,0
717,1
718,0
719,3
720,0
721,3
722,0
723,0
724,0
725,1
726,2
727,2
728,3
729,3
730,0
731,2
732,3
733,0
734,1
735,3
736,2
737,1
738,0
739,1
740,2
741,0
742,0
743,3
744,1
745,2
746,3
747,3
748,0
749,1
750,1
751,1
752,3
753,3
754,0
755,3
756,0
757,3
758,2
759,2
760,1
761,0
762,1
763,3
764,0
765,1
766,2
767,3
768,2
769,3
770,3
771,2
772,3
773,0
774,3
775,1
776,0
777,0
778,2
779,0
780,2
781,0
782,3
783,2
784,0
785,3
786,0
787,3
788,2
789,1
790,0
791,3
792,0
793,2
794,0
795,1
796,1
797,0
798,2
799,0
800,2
801,3
802,2
803,2
804,0
805,0
806,3
807,3
808,0
809,1
810,1
811,1
812,0
